"time","size","stream"
7.22996279865918,-0.227964379986916,"1"
4.37323210495473,1.73683674665038,"2"
3.4180219934783,2.48111046870882,"2"
3.83356022405895,4.1828002454469,"2"
4.2684716076739,2.6224930498505,"2"
4.82673219762976,1.61559601496235,"2"
1.10424584372329,1.2038073914929,"2"
4.03579943733474,0.754500103248059,"2"
6.02784799911298,-3.05759866657204,"3"
5.56697175478266,-2.42516565300163,"3"
4.1263295258213,-1.09325388856758,"3"
4.65609359714129,-2.16143475425011,"3"
6.53913022946766,-1.44034783802668,"3"
4.08197356596458,-4.12395657927641,"3"
5.79519720057291,-2.77755909117367,"4"
8.53720848860311,-1.10570221850033,"4"
6.87466766481363,-1.24249042315039,"4"
7.53718407463171,-2.95047750605626,"4"
7.49388096784578,-2.5275480963145,"4"
7.29621098815682,-3.25265825736242,"4"
8.86442856707338,-0.314272830685107,"4"
7.83917636399183,-2.41112442664203,"4"
4.8825123852745,-3.27174151694291,"4"
6.47390228630285,-2.14814892919352,"4"
6.07151839508441,2.8012364557917,"5"
6.1921263682458,-0.986759154383847,"6"
7.58095401966341,-2.80838752327303,"6"
8.21436826717321,-0.771723043392635,"6"
7.69925727485905,-1.46895664744428,"6"
6.84582105252228,-2.69600788032563,"6"
6.33018655109538,-2.88450405366675,"6"
6.96066176027516,3.98779329156667,"7"
6.67443127048633,2.27857269605993,"7"
3.89663919142784,1.78724772139169,"7"
3.81051292236989,2.02953712454347,"7"
4.49643121556531,1.15421536220643,"7"
5.43588540216134,1.74492161636389,"7"
4.95700192253067,1.6299861893927,"7"
4.45156532237852,1.58647955540135,"7"
5.60867192847449,3.13093918886462,"7"
6.04733664198498,3.46590031088696,"7"
6.77911339368999,-1.60510086050577,"8"
6.15349823364932,-4.01350535867988,"8"
8.76955175780949,-2.61085336087825,"8"
5.55977373694758,-2.46633493798267,"8"
7.99552506411182,-1.90044447202684,"8"
4.05809299520427,-1.93274407750954,"8"
4.12854275100075,0.599951227668778,"9"
6.24464463112287,2.60692848071067,"10"
2.9710631207485,2.2137632960704,"10"
4.23210491200656,0.282814934315432,"10"
2.74494440379416,-0.154823009598865,"10"
